X,ID,Intercept,umol.L.sec,Temp.C,Date,Run,Species,Temp.Cat,Light_Dark,Organism.ID,Species.Fullname,Blank,Surface.Area,Buoyant.Weight,Treatment,Mean,RMSE,R2,Std Error Slope,Std Error Intercept,t Ratio Slope,t Ratio Intercept,Prob>|t| Slope,Prob>|t| Intercept
434,R032_Poc7_TP_0.3,156.7933575,-0.011598591,24,02/16/2021,NA,Poc,24,Dark,Poc7,Pocillopora,0,5,10,0,133.55175,3.260231146,0.697310355,0.00540351,10.94973646,-2.146491993,14.31937271,0.164948891,0.004841602
435,R102_Por6_TP_2.2,177.9533679,-0.014633977,28,02/16/2021,NA,Por,28,Dark,Por6,Porites,0,5,10,2,144.77325,3.02697473,0.77960432,0.005501889,12.56609741,-2.659809775,14.16138695,0.117047951,0.004949426
436,G150_Por3_TP_0.3,96.22079733,0.017782847,32,02/16/2021,NA,Por,32,Light,Por3,Porites,0,5,10,0,114.21225,3.816531604,0.789736966,0.006488234,6.836089263,2.740783736,14.07541558,0.111328539,0.005009617
437,R042_Poc8_TP_2.3,82.90216627,0.048696914,26,02/16/2021,NA,Poc,26,Light,Poc8,Pocillopora,0,5,10,2,129.116,3.714436197,0.971456558,0.00590239,5.901289202,8.250371785,14.04814498,0.014375042,0.005028939
438,R108_Por6_TP_0.2,309.8350272,-0.075667708,24,02/16/2021,NA,Por,24,Dark,Por6,Porites,0,5,10,0,160.274,6.822843997,0.957397919,0.011286642,22.56794424,-6.704182517,13.72898763,0.021532873,0.005263607
439,R163_Por8_TP_2.1,248.7738944,-0.038186693,24,02/16/2021,NA,Por,24,Dark,Por8,Porites,0,5,10,2,161.53625,4.127918499,0.921233602,0.007895555,18.1551269,-4.836479918,13.70268,0.040190852,0.005283678
440,G199_Por5_TP_4.1,129.8965444,0.050888404,24,02/16/2021,NA,Por,24,Light,Por5,Porites,0,5,10,4,177.24725,5.734347522,0.932091256,0.009712644,9.481343793,5.239397705,13.70022512,0.034551267,0.005285556
441,G025_Poc2_TP_2.2,149.9535306,0.000996439,28,02/16/2021,NA,Poc,28,Dark,Poc2,Pocillopora,0,5,10,2,152.22525,2.642922745,0.020701663,0.00484608,11.12702559,0.205617515,13.4765153,0.856119275,0.005461046
442,G031_Poc2_TP_4.2,101.9200214,0.023403165,30,02/16/2021,NA,Poc,30,Light,Poc2,Pocillopora,0,5,10,4,125.7035,4.157340732,0.83970116,0.007230402,7.636261757,3.236772562,13.34684753,0.083647906,0.005566784
443,G051_Poc3_TP_0.1,72.58843612,0.035197403,24,02/16/2021,NA,Poc,24,Light,Poc3,Pocillopora,0,5,10,0,113.70225,2.21462273,0.967450989,0.004565097,5.446210837,7.710110174,13.32824569,0.016409135,0.005582203
